created_at,EC (mS/cm),pH (pH),ECPH control
2024-01-10T12:41:04+08:00,12.88339,6.86937,0
2024-01-10T12:41:20+08:00,4.23144,6.86557,0
2024-01-10T12:41:36+08:00,0.55334,6.84886,0
2024-01-10T12:41:52+08:00,4.28424,6.82228,0
2024-01-10T12:42:10+08:00,5.45177,6.82532,0
2024-01-10T12:42:25+08:00,3.39233,6.82532,0
2024-01-10T12:42:41+08:00,6.77364,6.60203,0
2024-01-10T12:42:58+08:00,7.87026,6.12354,0
2024-01-10T12:43:15+08:00,8.0862,6.42582,0
2024-01-10T12:43:32+08:00,8.31399,6.56709,0
2024-01-10T12:43:48+08:00,5.99288,6.64684,0
2024-01-10T12:52:32+08:00,0.86664,7.00875,0
2024-01-10T12:52:47+08:00,0.8679,7.04615,0
2024-01-10T12:53:03+08:00,0.87543,6.80265,0
2024-01-10T12:53:20+08:00,0.88234,6.40637,1
2024-01-10T12:53:36+08:00,0.88422,6.29655,1
2024-01-10T12:53:52+08:00,0.88799,6.41512,1
2024-01-10T12:54:08+08:00,0.89239,6.54881,1
2024-01-10T12:54:24+08:00,0.89616,6.58939,1
2024-01-10T12:54:40+08:00,0.89741,6.68249,1
2024-01-10T12:54:55+08:00,0.89616,6.76287,1
2024-01-10T12:55:11+08:00,0.89427,6.81459,1
2024-01-10T12:55:27+08:00,0.89302,6.84005,1
2024-01-10T12:55:42+08:00,0.89616,6.87109,1
2024-01-10T12:55:58+08:00,0.89741,6.88939,1
2024-01-10T12:56:13+08:00,0.90055,6.9069,1
2024-01-10T12:56:28+08:00,0.90432,6.91326,1
2024-01-10T12:56:44+08:00,0.90369,6.91088,1
2024-01-10T12:57:00+08:00,0.90432,6.91406,1
2024-01-10T12:57:15+08:00,0.90432,6.91565,1
2024-01-10T12:57:32+08:00,0.9062,6.91247,1
2024-01-10T12:57:47+08:00,0.90809,6.91247,1
2024-01-10T12:58:03+08:00,0.90558,6.91247,1
2024-01-10T12:58:19+08:00,0.90872,6.91247,1
2024-01-10T12:58:35+08:00,0.90934,6.91406,1
2024-01-10T12:58:51+08:00,0.90934,6.91883,1
2024-01-10T12:59:07+08:00,0.90997,6.92042,1
2024-01-10T12:59:23+08:00,0.9106,6.92042,1
2024-01-10T12:59:40+08:00,0.90872,6.92361,1
2024-01-10T12:59:56+08:00,0.9106,6.92838,0
2024-01-10T13:00:11+08:00,0.9106,6.9252,0
2024-01-10T13:00:26+08:00,0.9106,6.91883,0
2024-01-10T13:00:42+08:00,0.90118,6.85438,0
2024-01-10T14:20:21+08:00,1.37109,7,0
2024-01-10T14:20:38+08:00,1.33517,7.00079,0
2024-01-10T14:20:54+08:00,1.32499,7.00709,0
2024-01-10T14:23:54+08:00,12.88347,3.9938,0
2024-01-10T14:24:11+08:00,11.60698,4.09225,0
2024-01-10T14:24:26+08:00,3.06795,4.5031,0
2024-01-10T14:24:43+08:00,0.80491,5.00853,0
2024-01-10T14:24:59+08:00,0.80301,5.41395,0
2024-01-10T14:25:16+08:00,0.8068,5.78295,1
2024-01-10T14:25:32+08:00,0.8068,6.0031,1
2024-01-10T14:25:49+08:00,0.80743,6.16434,1
2024-01-10T14:26:08+08:00,0.80743,6.29845,1
2024-01-10T14:26:23+08:00,0.80743,6.3969,1
2024-01-10T14:26:38+08:00,0.81437,6.47287,1
2024-01-10T14:26:54+08:00,0.81752,6.53953,1
2024-01-10T14:27:11+08:00,0.81311,6.59302,1
2024-01-10T14:27:27+08:00,0.81626,6.63953,1
2024-01-10T14:27:42+08:00,0.82068,6.67442,1
2024-01-10T14:27:58+08:00,0.81437,6.67674,1
2024-01-10T14:28:15+08:00,0.81752,6.70155,1
2024-01-10T14:28:30+08:00,0.81815,6.72946,1
2024-01-10T14:28:46+08:00,0.81626,5.44419,1
2024-01-10T14:29:02+08:00,0.81689,4.0876,1
2024-01-10T14:29:18+08:00,0.81815,4.06434,1
2024-01-10T14:29:33+08:00,0.82004,4.05659,1
2024-01-10T14:29:51+08:00,0.81626,4.05039,1
2024-01-10T14:30:07+08:00,0.81121,4.04419,1
2024-01-10T14:30:23+08:00,0.80491,4.03333,1
2024-01-10T14:30:40+08:00,0.80112,4.19767,1
2024-01-10T14:30:56+08:00,0.80112,4.75969,1
2024-01-10T14:31:12+08:00,0.80112,5.16047,1
2024-01-10T14:31:28+08:00,0.80112,5.38605,1
2024-01-10T14:31:44+08:00,0.80112,5.46667,1
2024-01-10T14:32:00+08:00,0.80238,5.57209,1
2024-01-10T14:32:20+08:00,0.80491,5.71395,1
2024-01-10T14:32:36+08:00,0.80743,5.95116,1
2024-01-10T14:32:52+08:00,0.80743,6.27442,1
2024-01-10T14:33:08+08:00,0.80743,6.34341,1
2024-01-10T14:33:23+08:00,0.80743,6.44884,1
2024-01-10T14:33:47+08:00,0.80806,6.5093,1
2024-01-10T14:34:05+08:00,0.81121,6.57984,1
2024-01-10T14:35:46+08:00,0.81815,6.75039,1
2024-01-10T14:36:13+08:00,0.82446,6.77364,1
2024-01-10T14:36:29+08:00,0.82572,6.77829,1
2024-01-10T14:40:41+08:00,1.40543,3.95979,0
2024-01-10T14:40:57+08:00,1.40038,3.93968,0
2024-01-10T14:41:13+08:00,1.39975,3.92359,0
2024-01-10T14:41:29+08:00,1.17519,4.2059,0
2024-01-10T14:41:44+08:00,0.40056,4.47775,0
2024-01-10T14:42:01+08:00,0.74687,4.71019,0
2024-01-10T14:42:17+08:00,0.80743,4.88472,0
2024-01-10T14:42:33+08:00,0.80743,5.02708,1
2024-01-10T14:42:50+08:00,0.80932,5.12922,1
2024-01-10T14:43:05+08:00,0.81311,5.28043,1
2024-01-10T14:43:23+08:00,0.81374,5.62788,1
2024-01-10T14:43:40+08:00,0.81374,6.00992,1
2024-01-10T14:43:57+08:00,0.81374,6.18525,1
2024-01-10T14:44:13+08:00,0.81563,6.32842,1
2024-01-10T14:44:29+08:00,0.81563,6.43941,1
2024-01-10T14:44:44+08:00,0.81437,6.49973,1
2024-01-10T14:45:00+08:00,0.81374,6.54718,1
2024-01-10T14:45:16+08:00,0.81374,6.59705,1
2024-01-10T14:45:31+08:00,0.81374,6.63566,1
2024-01-10T14:45:47+08:00,0.81374,6.6622,1
2024-01-10T14:46:04+08:00,0.81121,6.7008,1
2024-01-10T14:46:21+08:00,0.81121,6.71287,1
2024-01-10T14:46:37+08:00,0.81248,6.72654,1
2024-01-10T14:46:52+08:00,0.81184,6.73458,1
2024-01-10T14:47:09+08:00,0.80932,6.74987,1
2024-01-10T14:47:26+08:00,0.81058,6.76676,1
2024-01-10T14:47:42+08:00,0.81058,6.79008,1
2024-01-10T14:47:59+08:00,0.80932,6.7933,1
2024-01-10T14:48:15+08:00,0.80743,6.80697,1
2024-01-10T14:48:32+08:00,0.80743,6.81099,1
2024-01-10T15:05:11+08:00,1.413,4,0
2024-01-10T15:05:27+08:00,1.40795,4.00147,0
2024-01-10T15:05:43+08:00,0.73236,4.25306,0
2024-01-10T15:05:59+08:00,0.63143,4.72469,1
2024-01-10T15:06:14+08:00,0.81374,5.24328,1
2024-01-10T15:06:30+08:00,0.81374,5.54474,1
2024-01-10T15:06:45+08:00,0.81374,5.8198,1
2024-01-10T15:07:01+08:00,0.81374,6.04939,1
2024-01-10T15:07:16+08:00,0.81374,6.21149,1
2024-01-10T15:07:32+08:00,0.81374,6.37139,1
2024-01-10T15:07:48+08:00,0.81374,6.49242,1
2024-01-10T15:08:05+08:00,0.81311,6.57017,1
2024-01-10T15:08:20+08:00,0.81248,6.62885,1
2024-01-10T15:08:35+08:00,0.81374,6.66406,1
2024-01-10T15:08:52+08:00,0.81374,6.68973,1
2024-01-10T15:09:08+08:00,0.81374,6.71907,1
2024-01-10T15:09:24+08:00,0.81374,6.73081,1
2024-01-10T15:09:40+08:00,0.81374,6.74328,1
2024-01-10T15:09:55+08:00,0.81374,6.76381,1
2024-01-10T15:10:12+08:00,0.81374,6.76455,1
2024-01-10T15:10:27+08:00,0.81374,6.77848,1
2024-01-10T15:10:42+08:00,0.81311,6.77482,1
2024-01-10T15:10:58+08:00,0.81374,6.78068,1
2024-01-10T15:11:14+08:00,0.81374,6.77995,1
2024-01-10T15:11:29+08:00,0.81311,6.77042,1
2024-01-10T15:11:45+08:00,0.81311,6.04792,0
2024-01-10T15:12:01+08:00,0.81374,4.18264,0
2024-01-10T15:12:18+08:00,0.81374,4.10049,0
2024-01-10T15:12:34+08:00,0.81374,4.07262,0
2024-01-10T15:12:51+08:00,0.81374,4.05575,0
2024-01-10T15:13:07+08:00,0.81374,4.04474,0
2024-01-10T15:13:22+08:00,0.81374,4.03741,0
2024-01-10T15:13:38+08:00,0.81374,4.03154,0
2024-01-10T15:13:54+08:00,0.81374,4.02934,0
2024-01-10T15:14:10+08:00,0.81374,4.02861,0
2024-01-10T15:16:51+08:00,1.413,7.00737,0
2024-01-10T15:17:07+08:00,1.05455,7.00737,0
2024-01-10T15:17:23+08:00,0.55664,6.99779,0
2024-01-10T15:17:38+08:00,0.78908,6.85553,1
2024-01-10T15:17:55+08:00,0.78847,6.37052,1
2024-01-10T15:18:11+08:00,0.78724,6.22752,1
2024-01-10T15:18:27+08:00,0.78724,6.24373,1
2024-01-10T15:18:43+08:00,0.78785,6.28428,1
2024-01-10T15:18:59+08:00,0.78908,6.37494,1
2024-01-10T15:19:14+08:00,0.78785,6.52236,1
2024-01-10T15:19:29+08:00,0.78724,6.57101,1
2024-01-10T15:19:46+08:00,0.78663,6.63292,1
2024-01-10T15:20:02+08:00,0.78663,6.67936,1
2024-01-10T15:20:18+08:00,0.78602,6.69558,1
2024-01-10T15:20:34+08:00,0.78602,6.72285,1
2024-01-10T15:20:49+08:00,0.78663,6.74791,1
2024-01-10T15:21:05+08:00,0.78663,6.76265,1
2024-01-10T15:21:20+08:00,0.78602,6.77297,1
2024-01-10T15:21:37+08:00,0.78663,6.7774,1
2024-01-10T15:21:54+08:00,0.78724,6.79951,1
